                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.745,                 2.4604,                 1.3872,                0.45879,                0.37448,                0.42144,                0.23563,                 1.8263,                 1.5975,                 1.4269,               0.070161,              0.0033154,              0.0033154
                      1,                 1.6963,                 1.5931,                 1.3617,                0.50045,                  0.497,                 0.4854,                0.26986,                 1.7723,                 1.5153,                 1.3183,               0.040095,              0.0065829,              0.0065829
                      2,                 1.7176,                 1.5344,                 1.3853,                0.41107,                0.36052,                0.34382,                0.18355,                 1.8489,                  1.854,                 1.4631,              0.0099636,              0.0097844,              0.0097844
                      3,                 1.7382,                 1.4872,                 1.4003,                0.39307,                0.39521,                0.36854,                0.20262,                 1.8667,                 1.6256,                 1.4427,               0.009703,               0.009703,               0.009703
                      4,                 1.7063,                 1.3948,                 1.3885,                0.66278,                0.47774,                0.50048,                0.26512,                  1.754,                 1.4869,                 1.3946,               0.009703,               0.009703,               0.009703
                      5,                  1.684,                 1.3239,                  1.372,                0.38992,                0.49955,                0.43906,                0.23169,                 1.8119,                 1.2592,                  1.411,               0.009604,               0.009604,               0.009604
                      6,                 1.6591,                   1.27,                 1.3599,                0.56074,                 0.5173,                0.52551,                0.29719,                 1.6643,                 1.2119,                  1.332,               0.009505,               0.009505,               0.009505
                      7,                 1.6473,                 1.2466,                  1.355,                0.56803,                0.56942,                0.56331,                0.33329,                  1.708,                 1.1841,                 1.3599,               0.009406,               0.009406,               0.009406
                      8,                  1.637,                 1.2259,                 1.3457,                0.50586,                0.49545,                0.53122,                0.30225,                 1.7558,                 1.2243,                 1.3824,               0.009307,               0.009307,               0.009307
                      9,                 1.6297,                 1.2047,                 1.3407,                 0.6429,                0.54209,                0.59019,                  0.346,                 1.7064,                 1.0806,                 1.3191,               0.009208,               0.009208,               0.009208
                     10,                 1.6182,                 1.1873,                 1.3338,                 0.6551,                0.54043,                0.61086,                0.34908,                 1.7211,                 1.1282,                 1.3577,               0.009109,               0.009109,               0.009109
                     11,                 1.6149,                 1.1639,                 1.3339,                0.66101,                0.56225,                0.61234,                0.35467,                 1.7016,                 1.0305,                 1.2875,                0.00901,                0.00901,                0.00901
                     12,                 1.6044,                  1.147,                 1.3248,                0.58853,                0.58585,                 0.6097,                0.35767,                 1.7635,                 1.1574,                 1.3647,               0.008911,               0.008911,               0.008911
                     13,                 1.5946,                 1.1357,                 1.3188,                0.56935,                0.58322,                0.59803,                0.34262,                 1.7449,                 1.1217,                 1.3546,               0.008812,               0.008812,               0.008812
                     14,                  1.587,                 1.1259,                 1.3174,                0.60721,                0.58608,                0.60549,                0.36339,                 1.6658,                 1.1405,                 1.3086,               0.008713,               0.008713,               0.008713
                     15,                 1.5877,                 1.1134,                 1.3117,                0.56592,                 0.6293,                0.60532,                0.34931,                 1.7221,                 1.0846,                 1.3317,               0.008614,               0.008614,               0.008614
                     16,                 1.5816,                 1.1118,                 1.3104,                0.60298,                0.60088,                 0.6204,                0.36026,                 1.7334,                 1.1115,                  1.421,               0.008515,               0.008515,               0.008515
                     17,                 1.5729,                  1.099,                 1.3072,                0.60807,                0.56833,                0.60265,                0.35707,                 1.6982,                 1.0487,                 1.3075,               0.008416,               0.008416,               0.008416
                     18,                 1.5794,                 1.1007,                 1.3074,                0.64382,                0.61245,                0.65239,                 0.3886,                 1.6813,                  1.032,                 1.3083,               0.008317,               0.008317,               0.008317
                     19,                 1.5651,                 1.0874,                 1.2999,                 0.5691,                 0.6467,                0.62647,                0.37371,                 1.7341,                 1.0908,                 1.3424,               0.008218,               0.008218,               0.008218
                     20,                 1.5633,                 1.0764,                 1.3005,                0.67568,                0.60829,                0.65162,                0.39075,                 1.6883,                0.99144,                 1.2721,               0.008119,               0.008119,               0.008119
                     21,                 1.5569,                 1.0709,                 1.2912,                0.65106,                0.58494,                0.63844,                0.37868,                 1.7525,                  1.063,                 1.3537,                0.00802,                0.00802,                0.00802
                     22,                 1.5578,                 1.0694,                 1.2984,                0.62343,                0.59772,                0.63026,                0.38074,                 1.7331,                 1.0106,                 1.3162,               0.007921,               0.007921,               0.007921
                     23,                 1.5485,                 1.0598,                 1.2864,                0.68538,                0.59997,                0.66375,                0.39561,                 1.6759,                 0.9207,                 1.2915,               0.007822,               0.007822,               0.007822
                     24,                  1.549,                 1.0504,                 1.2882,                0.62298,                0.61219,                0.64039,                0.38503,                 1.6777,                 1.0225,                 1.3126,               0.007723,               0.007723,               0.007723
                     25,                 1.5533,                 1.0538,                 1.2964,                0.60127,                0.61891,                0.64656,                0.39152,                 1.7113,                 1.0335,                 1.3138,               0.007624,               0.007624,               0.007624
                     26,                  1.547,                  1.049,                  1.285,                 0.5782,                0.56862,                0.61077,                0.36074,                 1.7244,                 1.0893,                  1.338,               0.007525,               0.007525,               0.007525
                     27,                 1.5433,                  1.043,                 1.2868,                0.55545,                0.61943,                0.62027,                0.37197,                 1.7106,                 1.0733,                  1.351,               0.007426,               0.007426,               0.007426
                     28,                 1.5456,                  1.038,                 1.2832,                0.57993,                0.63003,                0.63253,                0.37867,                 1.6883,                 1.0418,                   1.32,               0.007327,               0.007327,               0.007327
                     29,                 1.5321,                 1.0305,                 1.2775,                0.65507,                0.63843,                0.67123,                0.39698,                 1.7066,                  1.008,                 1.3312,               0.007228,               0.007228,               0.007228
                     30,                 1.5419,                 1.0277,                  1.285,                0.71145,                0.56874,                0.65895,                0.39503,                 1.6882,                 1.0258,                 1.3032,               0.007129,               0.007129,               0.007129
                     31,                 1.5288,                 1.0248,                 1.2729,                0.60598,                0.59425,                0.61696,                0.36967,                  1.691,                 1.0542,                 1.3337,                0.00703,                0.00703,                0.00703
                     32,                 1.5283,                 1.0239,                 1.2727,                0.55972,                0.63652,                0.61185,                0.36256,                 1.7473,                 1.0339,                 1.3464,               0.006931,               0.006931,               0.006931
                     33,                 1.5254,                 1.0173,                 1.2679,                   0.56,                0.64489,                0.64188,                0.38577,                  1.676,                 1.0197,                 1.3083,               0.006832,               0.006832,               0.006832
                     34,                 1.5226,                 1.0198,                 1.2718,                 0.5653,                0.63725,                0.64325,                0.38093,                 1.6727,                 1.0287,                 1.3298,               0.006733,               0.006733,               0.006733
                     35,                 1.5259,                 1.0104,                 1.2701,                0.62126,                0.62523,                0.68036,                 0.4062,                 1.7058,                 1.0001,                 1.3154,               0.006634,               0.006634,               0.006634
                     36,                 1.5199,                 1.0066,                  1.273,                0.64733,                0.57446,                0.65896,                0.38869,                 1.6721,                 1.0249,                 1.3229,               0.006535,               0.006535,               0.006535
                     37,                 1.5222,                 1.0046,                 1.2703,                0.63196,                0.61147,                0.66156,                0.38909,                 1.6885,                  1.013,                 1.3256,               0.006436,               0.006436,               0.006436
                     38,                 1.5091,                0.99258,                  1.266,                0.63179,                 0.6294,                0.67535,                0.40224,                 1.7185,                 1.0291,                  1.321,               0.006337,               0.006337,               0.006337
                     39,                 1.5089,                0.99875,                  1.266,                0.62971,                0.63587,                0.67216,                0.39765,                 1.6685,                 1.0202,                 1.3183,               0.006238,               0.006238,               0.006238
                     40,                 1.5116,                0.99692,                 1.2636,                0.67539,                0.60444,                0.68184,                0.40444,                 1.6687,                0.99009,                 1.3018,               0.006139,               0.006139,               0.006139
                     41,                  1.501,                0.98448,                 1.2604,                0.66371,                0.61859,                0.68097,                0.41172,                 1.6757,                0.99541,                 1.3104,                0.00604,                0.00604,                0.00604
                     42,                 1.5033,                0.98295,                  1.257,                0.65987,                0.61897,                0.69003,                0.41692,                 1.7118,                0.98836,                 1.3206,               0.005941,               0.005941,               0.005941
                     43,                 1.5049,                0.98017,                 1.2574,                0.66062,                0.61885,                0.68822,                0.41738,                 1.6547,                0.99107,                 1.3179,               0.005842,               0.005842,               0.005842
                     44,                 1.5063,                0.98406,                 1.2606,                0.60403,                0.64501,                0.67893,                0.40242,                 1.6864,                0.99323,                 1.3147,               0.005743,               0.005743,               0.005743
                     45,                 1.4983,                0.97132,                 1.2511,                 0.6566,                0.60232,                0.66419,                0.40045,                 1.6917,                 1.0002,                 1.3177,               0.005644,               0.005644,               0.005644
                     46,                 1.4976,                0.97758,                  1.258,                0.68975,                0.62053,                0.68355,                0.40669,                  1.706,                0.98728,                 1.3307,               0.005545,               0.005545,               0.005545
                     47,                 1.4962,                0.96939,                  1.254,                0.63717,                0.61464,                0.66439,                0.39473,                 1.6588,                0.97757,                 1.3033,               0.005446,               0.005446,               0.005446
                     48,                 1.4835,                0.96694,                 1.2457,                0.63741,                0.62869,                0.68889,                0.40837,                 1.6827,                0.97157,                 1.3148,               0.005347,               0.005347,               0.005347
                     49,                 1.4908,                0.96107,                 1.2499,                0.62334,                0.64915,                 0.6839,                 0.4055,                 1.7213,                 1.0015,                 1.3373,               0.005248,               0.005248,               0.005248
                     50,                 1.4857,                0.96042,                 1.2455,                0.60636,                0.68286,                0.69934,                0.41278,                 1.7128,                0.97114,                 1.3267,               0.005149,               0.005149,               0.005149
                     51,                 1.4812,                0.95621,                 1.2445,                0.70581,                0.61515,                0.70826,                0.41983,                 1.7147,                0.98947,                  1.329,                0.00505,                0.00505,                0.00505
                     52,                 1.4802,                0.95511,                 1.2509,                0.70261,                0.61828,                0.70207,                0.41824,                 1.7134,                0.98613,                 1.3392,               0.004951,               0.004951,               0.004951
                     53,                  1.482,                0.95666,                 1.2441,                0.72382,                0.60465,                0.70289,                0.41554,                 1.7044,                0.98509,                 1.3359,               0.004852,               0.004852,               0.004852
                     54,                 1.4752,                0.95709,                 1.2426,                0.72758,                0.58652,                0.70134,                0.41856,                 1.7055,                 0.9782,                 1.3319,               0.004753,               0.004753,               0.004753
                     55,                  1.476,                0.95058,                 1.2419,                0.65344,                0.64599,                 0.6914,                0.41554,                 1.6878,                0.98897,                 1.3317,               0.004654,               0.004654,               0.004654
                     56,                 1.4752,                 0.9432,                 1.2396,                0.69687,                0.63051,                 0.7033,                0.42066,                 1.6843,                0.99103,                 1.3282,               0.004555,               0.004555,               0.004555
                     57,                 1.4661,                0.94566,                 1.2366,                 0.7233,                0.58501,                0.70261,                0.41945,                 1.6709,                0.99897,                 1.3178,               0.004456,               0.004456,               0.004456
                     58,                  1.463,                0.93798,                 1.2365,                0.68346,                0.60807,                0.70057,                0.41926,                 1.6999,                0.98459,                 1.3258,               0.004357,               0.004357,               0.004357
                     59,                 1.4686,                0.93449,                 1.2339,                0.69627,                0.61184,                0.68927,                0.41275,                 1.7137,                0.99228,                 1.3397,               0.004258,               0.004258,               0.004258
                     60,                 1.4685,                0.93852,                 1.2374,                0.70004,                0.62005,                 0.6878,                0.41133,                 1.7086,                 1.0026,                 1.3414,               0.004159,               0.004159,               0.004159
                     61,                 1.4585,                0.93316,                 1.2333,                0.68456,                0.62278,                0.69352,                0.40963,                 1.7072,                 1.0029,                 1.3305,                0.00406,                0.00406,                0.00406
                     62,                 1.4586,                0.92509,                  1.232,                0.66917,                0.62753,                0.69378,                0.40931,                 1.7035,                0.99701,                 1.3301,               0.003961,               0.003961,               0.003961
                     63,                 1.4462,                0.92367,                 1.2288,                0.67424,                0.63126,                 0.6924,                0.40989,                 1.7064,                0.99159,                 1.3305,               0.003862,               0.003862,               0.003862
                     64,                 1.4538,                0.92358,                 1.2296,                0.65639,                0.63679,                0.68833,                0.40497,                 1.7125,                0.99612,                 1.3438,               0.003763,               0.003763,               0.003763
                     65,                 1.4494,                0.92229,                 1.2295,                0.68317,                0.62152,                0.69658,                0.41102,                 1.7155,                0.99287,                 1.3389,               0.003664,               0.003664,               0.003664
                     66,                 1.4467,                0.91837,                  1.229,                0.70631,                0.61492,                0.69861,                0.40873,                 1.7092,                0.99472,                 1.3332,               0.003565,               0.003565,               0.003565
                     67,                 1.4487,                 0.9205,                 1.2244,                0.72808,                0.59834,                0.69915,                0.41331,                 1.7089,                0.99466,                 1.3315,               0.003466,               0.003466,               0.003466
                     68,                  1.449,                0.91501,                 1.2237,                0.72408,                0.59901,                0.69431,                0.40826,                 1.7145,                0.99362,                 1.3353,               0.003367,               0.003367,               0.003367
                     69,                  1.449,                0.90936,                  1.225,                0.71227,                0.60483,                0.69911,                0.41032,                 1.7063,                0.99447,                  1.331,               0.003268,               0.003268,               0.003268
                     70,                 1.4419,                0.90877,                 1.2254,                  0.701,                0.60719,                0.69733,                0.41401,                 1.7102,                0.98926,                 1.3336,               0.003169,               0.003169,               0.003169
                     71,                 1.4483,                0.90881,                 1.2251,                0.72143,                0.60819,                0.69436,                0.41266,                 1.7238,                0.99525,                 1.3398,                0.00307,                0.00307,                0.00307
                     72,                 1.4381,                0.90138,                 1.2205,                0.72031,                0.60773,                0.69191,                0.41137,                 1.7181,                0.99484,                 1.3362,               0.002971,               0.002971,               0.002971
                     73,                 1.4409,                0.90688,                 1.2188,                0.70439,                 0.6112,                0.69668,                0.41418,                 1.7185,                0.98735,                 1.3357,               0.002872,               0.002872,               0.002872
                     74,                 1.4396,                0.90441,                 1.2205,                0.70751,                0.60544,                0.69574,                0.41172,                 1.7179,                0.98765,                 1.3351,               0.002773,               0.002773,               0.002773
                     75,                 1.4259,                0.89557,                 1.2183,                 0.7057,                0.60809,                0.70095,                0.41627,                 1.7085,                0.98742,                 1.3336,               0.002674,               0.002674,               0.002674
                     76,                 1.4327,                0.89476,                 1.2146,                0.69518,                0.62001,                  0.703,                0.41564,                 1.7056,                0.98355,                 1.3325,               0.002575,               0.002575,               0.002575
                     77,                 1.4259,                0.89478,                 1.2158,                0.68258,                0.62422,                0.70198,                0.41271,                 1.7079,                0.98583,                 1.3354,               0.002476,               0.002476,               0.002476
                     78,                 1.4298,                 0.8953,                 1.2201,                0.59665,                0.36735,                0.38918,                 0.2353,                 1.7051,                0.98434,                 1.3326,               0.002377,               0.002377,               0.002377
                     79,                 1.4157,                0.88322,                 1.2113,                0.70019,                0.61298,                0.70246,                 0.4153,                  1.698,                0.98517,                 1.3275,               0.002278,               0.002278,               0.002278
                     80,                 1.4185,                0.88033,                 1.2138,                0.69179,                0.61189,                0.70441,                0.41706,                 1.6938,                0.98427,                 1.3245,               0.002179,               0.002179,               0.002179
                     81,                  1.424,                0.88372,                 1.2125,                0.69107,                0.61156,                0.70753,                0.41781,                 1.6936,                0.98334,                 1.3248,                0.00208,                0.00208,                0.00208
                     82,                 1.4153,                0.87412,                 1.2086,                0.68385,                0.61233,                0.70428,                0.41624,                 1.6944,                0.98121,                  1.323,               0.001981,               0.001981,               0.001981
                     83,                 1.4156,                0.87766,                 1.2077,                0.68303,                0.61905,                0.70556,                0.41843,                 1.6905,                 0.9765,                 1.3211,               0.001882,               0.001882,               0.001882
                     84,                 1.4097,                0.86741,                 1.2065,                0.69055,                0.61029,                0.70901,                0.42159,                 1.6918,                 0.9726,                 1.3208,               0.001783,               0.001783,               0.001783
                     85,                 1.4105,                0.87915,                 1.2088,                0.66271,                0.64357,                 0.7077,                 0.4205,                 1.6906,                0.97138,                 1.3204,               0.001684,               0.001684,               0.001684
                     86,                  1.408,                0.86902,                 1.2069,                0.67152,                0.64188,                0.70913,                 0.4213,                 1.6941,                0.96712,                 1.3214,               0.001585,               0.001585,               0.001585
                     87,                 1.4089,                0.87211,                 1.2043,                 0.6771,                0.64384,                0.71153,                0.42243,                 1.6959,                0.96846,                 1.3216,               0.001486,               0.001486,               0.001486
                     88,                 1.4001,                0.86606,                 1.1994,                0.68266,                0.61825,                 0.7103,                0.42152,                 1.6901,                0.96756,                 1.3213,               0.001387,               0.001387,               0.001387
                     89,                 1.3996,                0.86129,                 1.1997,                0.68383,                0.64586,                0.71324,                0.42197,                 1.6922,                0.96418,                 1.3221,               0.001288,               0.001288,               0.001288
                     90,                 1.4619,                0.85096,                 1.2385,                0.68303,                0.63231,                0.71215,                 0.4216,                 1.6901,                0.96353,                 1.3229,               0.001189,               0.001189,               0.001189
                     91,                 1.4582,                0.84417,                 1.2403,                0.67689,                0.65948,                0.71372,                0.42216,                 1.6918,                0.96154,                  1.324,                0.00109,                0.00109,                0.00109
                     92,                 1.4522,                  0.838,                 1.2345,                0.67529,                0.65443,                0.71092,                0.42087,                 1.6938,                0.96066,                 1.3254,               0.000991,               0.000991,               0.000991
                     93,                 1.4489,                0.83646,                 1.2359,                0.69899,                0.63868,                0.71169,                0.42072,                  1.693,                0.96045,                  1.325,               0.000892,               0.000892,               0.000892
                     94,                  1.442,                0.83114,                 1.2288,                0.71571,                0.64243,                0.71533,                0.41949,                  1.695,                0.96059,                 1.3279,               0.000793,               0.000793,               0.000793
                     95,                 1.4387,                0.82891,                 1.2275,                0.71424,                0.64091,                0.71614,                0.41935,                 1.6976,                0.96114,                 1.3278,               0.000694,               0.000694,               0.000694
                     96,                 1.4349,                 0.8284,                 1.2275,                0.70626,                0.63792,                 0.7115,                0.41629,                 1.6958,                0.96253,                 1.3272,               0.000595,               0.000595,               0.000595
                     97,                 1.4311,                0.82163,                 1.2279,                0.71485,                0.64794,                0.71513,                0.41769,                  1.697,                0.96085,                 1.3286,               0.000496,               0.000496,               0.000496
                     98,                 1.4272,                0.82128,                 1.2249,                0.71118,                0.65411,                0.71553,                0.41821,                 1.6965,                0.96179,                 1.3287,               0.000397,               0.000397,               0.000397
                     99,                 1.4273,                0.81817,                 1.2242,                 0.7142,                  0.649,                0.71775,                0.41886,                 1.6987,                0.96114,                 1.3296,               0.000298,               0.000298,               0.000298
